Portugal,7
Saudi Arabia,2
Madagascar,1
Timor-Leste,1
Turkey,2
"Korea, Republic of",16
Czech Republic,5
Vietnam,2
Slovenia,1
Canada,80
Kenya,1
Mexico,10
Romania,5
Ethiopia,1
Oman,1
Israel,12
Viet Nam,0
Bolivia,2
Hungary,6
N/A,221
Nigeria,2
Sudan,2
Germany,114
Ukraine,8
China,34
Austria,12
Cameroon,2
Poland,12
United States of America,0
NA,0
Congo,1
The Netherlands,0
Puerto Rico,1
Burkina Faso,1
Zambia,1
Serbia,2
United States,514
Azerbaijan,1
Georgia,1
Denmark,29
Taiwan,9
"Iran, Islamic Republic Of",209
Ghana,1
Spain,43
Sri Lanka,1
Albania,1
Norway,17
United Kingdom,335
Mauritania,1
"Taiwan, Province Of China",1
United Kindgdom,0
Honduras,6
Bulgaria,3
Korea South,0
Ireland,14
Malawi,1
India,18
Armenia,2
Korea North,0
Pakistan,2
Malaysia,10
New Zealand,61
Guatemala,1
Jordan,3
Peru,3
Jamaica,2
Colombia,5
Uganda,3
Egypt,2
Netherlands,92
Belarus,2
Greece,9
Singapore,9
Bangladesh,3
France,48
Finland,10
Belgium,14
Latvia,1
Japan,2
Switzerland,23
Italy,30
Hong Kong,17
Qatar,1
Chile,6
Kuwait,1
Malasya,2
Argentina,8
Russian Federation,7
Philippines,1
Not Applicable,0
Slovakia,4
Lithuania,3
Nepal,1
South Africa,5
Thailand,10
Brazil,35
Australia,472
Iraq,2
"Korea, South",0
Estonia,5
Cyprus,1
Tanzania,2
Croatia,2
Sweden,31
